reE,imE,inv_abs_det
0.01,-2.4242424242424243,0.012255906317582945
0.01,-2.272727272727273,0.015069150374904992
0.01,-2.121212121212121,0.018650536492433624
0.01,-1.9696969696969697,0.023230220195558832
0.01,-1.8181818181818181,0.02909109900369499
0.01,-1.6666666666666667,0.036546719403134205
0.01,-1.5151515151515151,0.04586530134148452
0.01,-1.3636363636363635,0.0571029259761204
0.01,-1.2121212121212122,0.06986172926010031
0.01,-1.0606060606060606,0.08316135702892817
0.01,-0.9090909090909091,0.09574465012172843
0.01,-0.7575757575757576,0.10677119035981963
0.01,-0.6060606060606061,0.11622011217307436
0.01,-0.45454545454545453,0.12453159036168754
0.01,-0.30303030303030304,0.13155218202413738
0.01,-0.15151515151515152,0.13306993887290167
0.01,0.0,0.08235421153927917
0.7169696969696969,-15.0,4.624790424287796e-7
0.7169696969696969,-14.848484848484848,5.124403463409691e-7
0.7169696969696969,-14.696969696969697,5.680102904468595e-7
0.7169696969696969,-14.545454545454545,6.298430058652473e-7
0.7169696969696969,-14.393939393939394,6.986718742966754e-7
0.7169696969696969,-14.242424242424242,7.753195023128764e-7
0.7169696969696969,-14.090909090909092,8.607090000302125e-7
0.7169696969696969,-13.93939393939394,9.558767415088631e-7
0.7169696969696969,-13.787878787878787,1.0619868093079645e-6
0.7169696969696969,-13.636363636363637,1.1803473544201273e-6
0.7169696969696969,-13.484848484848484,1.3124291358696577e-6
0.7169696969696969,-13.333333333333334,1.459886542253465e-6
0.7169696969696969,-13.181818181818182,1.6245814412049189e-6
0.7169696969696969,-13.030303030303031,1.8086102530564454e-6
0.7169696969696969,-12.878787878787879,2.014334702925757e-6
0.7169696969696969,-12.727272727272727,2.2444167722594465e-6
0.7169696969696969,-12.575757575757576,2.501858447970848e-6
0.7169696969696969,-12.424242424242424,2.790046956368192e-6
0.7169696969696969,-12.272727272727273,3.1128062720428187e-6
0.7169696969696969,-12.121212121212121,3.4744558110591346e-6
0.7169696969696969,-11.969696969696969,3.879877355852902e-6
0.7169696969696969,-11.818181818181818,4.334591419376697e-6
0.7169696969696969,-11.666666666666666,4.844844441944339e-6
0.7169696969696969,-11.515151515151516,5.417708430338979e-6
0.7169696969696969,-11.363636363636363,6.061194900271494e-6
0.7169696969696969,-11.212121212121213,6.784385276358271e-6
0.7169696969696969,-11.06060606060606,7.597580245783664e-6
0.7169696969696969,-10.909090909090908,8.51247096138216e-6
0.7169696969696969,-10.757575757575758,9.54233545746764e-6
0.7169696969696969,-10.606060606060606,1.0702264189645209e-5
0.7169696969696969,-10.454545454545455,1.2009419253005364e-5
0.7169696969696969,-10.303030303030303,1.3483332589220309e-5
0.7169696969696969,-10.151515151515152,1.514624938360542e-5
0.7169696969696969,-10.0,1.70235239039255e-5
0.7169696969696969,-9.848484848484848,1.914407627486154e-5
0.7169696969696969,-9.696969696969697,2.1540920153344507e-5
0.7169696969696969,-9.545454545454545,2.4251773016459094e-5
0.7169696969696969,-9.393939393939394,2.7319762851268337e-5
0.7169696969696969,-9.242424242424242,3.0794247513281454e-5
0.7169696969696969,-9.090909090909092,3.47317659814726e-5
0.7169696969696969,-8.93939393939394,3.919714428610831e-5
0.7169696969696969,-8.787878787878787,4.4264783149076617e-5
