k,amp
0.1,0.18122962368813944
0.11,0.21299286123840133
0.12,0.2457381896067314
0.13,0.2791167425460077
0.14,0.3128093026031521
0.15,0.3465294678394045
0.16,0.3800251635781091
0.17,0.41307876855426673
0.18,0.44550614281066225
0.19,0.4771548371937069
0.2,0.5079017393747716
0.21,0.5376503762254423
0.22,0.566328053017177
0.23,0.5938829706554718
0.24,0.6202814258814747
0.25,0.6455051677231612
0.26,0.6695489571440714
0.27,0.6924183558426785
0.28,0.7141277541005524
0.29,0.7346986358353913
0.3,0.7541580708695189
0.31,0.7725374191634307
0.32,0.7898712287340376
0.33,0.8061963076121437
0.34,0.8215509500229345
0.35,0.8359742976198951
0.36,0.8495058177741619
0.37,0.8621848823975311
0.38,0.874050432397631
0.39,0.8851407145150472
0.4,0.895493078898201
0.41,0.905143827284225
0.42,0.9141281030450278
0.43,0.922479815613914
0.44,0.9302315929265028
0.45,0.9374147564937307
0.46,0.9440593145823837
0.47,0.9501939697199451
0.48,0.9558461373769525
0.49,0.9610419732230439
0.5,0.9658064068136641
0.51,0.9701631799535235
0.52,0.9741348883100804
0.53,0.9777430251241952
0.54,0.9810080260935359
0.55,0.9839493146940015
0.56,0.9865853473613998
0.57,0.9889336580849699
0.58,0.9910109020704531
0.59,0.9928328982171385
0.6,0.99441467022377
0.61,0.9957704861951827
0.62,0.9969138966672733
0.63,0.9978577710044193
0.64,0.998614332152276
0.65,0.999195189751428
0.66,0.9996113716347547
0.67,0.9998733537445611
0.68,0.9999910885152655
0.69,0.9999740317744451
0.7,0.9998311682197936
0.71,0.9995710355325385
0.72,0.9992017471894395
0.73,0.9987310140359515
0.74,0.9981661646827388
0.75,0.9975141647866778
0.76,0.9967816352759209
0.77,0.995974869576691
0.78,0.9950998498972969
0.79,0.9941622626225308
0.8,0.9931675128691582
0.81,0.9921207382507354
0.82,0.9910268218974875
0.83,0.9898904047745315
0.84,0.9887158973393034
0.85,0.9875074905767226
0.86,0.9862691664483639
0.87,0.9850047077897527
0.88,0.9837177076878326
0.89,0.9824115783686969
0.9,0.9810895596238216
0.91,0.9797547268012758
0.92,0.9784099983867436
0.93,0.9770581431976334
0.94,0.9757017872120838
0.95,0.9743434200533215
0.96,0.9729854011485382
0.97,0.9716299655802495
0.98,0.9702792296469981
0.99,0.9689351961491954
1.0,0.9675997594149406
1.01,0.9662747100797323
1.02,0.9649617396331531
1.03,0.9636624447447913
1.04,0.9623783313809688
1.05,0.9611108187231068
1.06,0.9598612428979696
1.07,0.9586308605293844
1.08,0.9574208521205214
1.09,0.9562323252752635
1.1,0.9550663177667369
1.11,0.9539238004606085
1.12,0.9528056801003424
1.13,0.9517128019612076
1.14,0.9506459523794726
1.15,0.9496058611628688
1.16,0.9485932038880939
1.17,0.9476086040908172
1.18,0.9466526353533771
1.19,0.9457258232950978
1.2,0.9448286474698988
1.21,0.9439615431756512
1.22,0.9431249031795095
1.23,0.9423190793632573
1.24,0.941544384292498
1.25,0.9408010927133597
1.26,0.9400894429802091
1.27,0.9394096384177071
1.28,0.9387618486203995
1.29,0.9381462106928865
1.3,0.937562830433492
1.31,0.9370117834642235
1.32,0.9364931163096961
1.33,0.9360068474275904
1.34,0.9355529681930967
1.35,0.9351314438397083
1.36,0.9347422143586341
1.37,0.934385195359004
1.38,0.9340602788909564
1.39,0.9337673342336293
1.4,0.9335062086499808
1.41,0.9332767281103105
1.42,0.9330786979862704
1.43,0.9329119037170918
1.44,0.9327761114496992
1.45,0.9326710686543058
1.46,0.9325965047170448
1.47,0.9325521315111129
1.48,0.9325376439478816
1.49,0.9325527205093385
1.5,0.9325970237632049
1.51,0.9326702008620125
1.52,0.9327718840273774
1.53,0.9329016910206617
1.54,0.9330592256011705
1.55,0.9332440779729937
1.56,0.9334558252215497
1.57,0.9336940317408521
1.58,0.9339582496524821
1.59,0.9342480192172028
1.6,0.9345628692401149
1.61,0.9349023174702202
1.62,0.9352658709952051
1.63,0.9356530266322373
1.64,0.9360632713155119
1.65,0.9364960824812649
1.66,0.9369509284509098
1.67,0.9374272688129421
1.68,0.9379245548041969
1.69,0.9384422296910202
1.7,0.938979729150869
1.71,0.9395364816548257
1.72,0.9401119088514663
1.73,0.9407054259524896
1.74,0.9413164421204713
1.75,0.9419443608590764
1.76,0.9425885804060269
1.77,0.943248494129055
1.78,0.9439234909250936
1.79,0.9446129556228463
1.8,0.945316269388896
1.81,0.9460328101374518
1.82,0.9467619529437906
1.83,0.9475030704614206
1.84,0.9482555333429649
1.85,0.9490187106646997
1.86,0.9497919703546767
1.87,0.9505746796242978
1.88,0.9513662054031863
1.89,0.9521659147771658
1.9,0.9529731754291066
1.91,0.9537873560823938
1.92,0.9546078269467045
1.93,0.9554339601657793
1.94,0.9562651302668174
1.95,0.9571007146111171
1.96,0.9579400938455348
1.97,0.9587826523543111
1.98,0.9596277787108127
1.99,0.960474866128656
2.0,0.9613233129117291
2.01,0.9621725229025365
2.02,0.963021905928322
2.03,0.9638708782443787
2.04,0.9647188629739469
2.05,0.9655652905440895
2.06,0.9664095991169155
2.07,0.9672512350155119
2.08,0.9680896531439445
2.09,0.9689243174006674
2.1,0.9697547010846934
2.11,0.9705802872938534
2.12,0.971400569314508
2.13,0.9722150510020305
2.14,0.9730232471514297
2.15,0.9738246838574602
2.16,0.974618898863589
2.17,0.9754054418991929
2.18,0.9761838750043859
2.19,0.9769537728418703
2.2,0.9777147229952556
2.21,0.9784663262532765
2.22,0.9792081968793835
2.23,0.9799399628662071
2.24,0.980661266174401
2.25,0.9813717629554234
2.26,0.98207112375783
2.27,0.9827590337166815
2.28,0.9834351927257226
2.29,0.9840993155919846
2.3,0.984751132172546
2.31,0.9853903874931844
2.32,0.986016841848704
2.33,0.9866302708847727
2.34,0.9872304656611168
2.35,0.9878172326959835
2.36,0.9883903939918092
2.37,0.988949787042073
2.38,0.9894952648193622
2.39,0.9900266957446976
2.4,0.9905439636382398
2.41,0.9910469676514941
2.42,0.9915356221812124
2.43,0.9920098567651927
2.44,0.9924696159602487
2.45,0.9929148592026218
2.46,0.9933455606511794
2.47,0.993761709013749
2.48,0.9941633073569911
2.49,0.9945503729002273
2.5,0.9949229367936933
2.51,0.9952810438816876
2.52,0.995624752451141
2.53,0.9959541339661355
2.54,0.9962692727889404
2.55,0.9965702658881426
2.56,0.9968572225344805
2.57,0.9971302639849975
2.58,0.9973895231561573
2.59,0.9976351442865643
2.6,0.9978672825899622
2.61,0.9980861038991777
2.62,0.9982917843016905
2.63,0.9984845097675236
2.64,0.9986644757701367
2.65,0.9988318869010318
2.66,0.9989869564787442
2.67,0.9991299061529375
2.68,0.9992609655042726
2.69,0.9993803716407503
2.7,0.9994883687912016
2.71,0.9995852078965932
2.72,0.9996711461998209
2.73,0.999746446834634
2.74,0.999811378414328
2.75,0.9998662146208388
2.76,0.9999112337948455
2.77,0.9999467185274662
2.78,0.9999729552541485
2.79,0.9999902338512876
2.8,0.9999988472361312
2.81,0.9999990909704873
2.82,0.9999912628687402
2.83,0.9999756626106462
