E,redet,imdet
-17.91,1.5463024084229845e-8,0.0
-17.9,1.6264436376838644e-8,0.0
-17.89,1.706457070445026e-8,0.0
-17.88,1.786328173326645e-8,0.0
-17.87,1.866042501951195e-8,0.0
-17.86,1.94558570112943e-8,0.0
-17.85,2.02494350504633e-8,0.0
-17.84,2.104101737446482e-8,0.0
-17.83,2.18304631181891e-8,0.0
-17.82,2.2617632315821048e-8,0.0
-17.81,2.3402385902683264e-8,0.0
-17.8,2.4184585717077038e-8,0.0
-17.79,2.4964094502119974e-8,0.0
-17.78,2.574077590757977e-8,0.0
-17.77,2.6514494491704737e-8,0.0
-17.76,2.7285115723049935e-8,0.0
-17.75,2.8052505982301847e-8,0.0
-17.74,2.881653256409569e-8,0.0
-17.73,2.957706367883344e-8,0.0
-17.72,3.033396845449375e-8,0.0
-17.71,3.108711693844187e-8,0.0
-17.7,3.1836380099231376e-8,0.0
-17.69,3.258162982840693e-8,0.0
-17.68,3.33227389422986e-8,0.0
-17.67,3.40595811838139e-8,0.0
-17.66,3.479203122422785e-8,0.0
-17.65,3.551996466496345e-8,0.0
-17.64,3.624325803937307e-8,0.0
-17.63,3.696178881451417e-8,0.0
-17.62,3.7675435392917827e-8,0.0
-17.61,3.838407711435782e-8,0.0
-17.6,3.908759425760843e-8,0.0
-17.59,3.978586804220778e-8,0.0
-17.58,4.047878063020477e-8,0.0
-17.57,4.11662151279089e-8,0.0
-17.56,4.1848055587636174e-8,0.0
-17.55,4.25241870094432e-8,0.0
-17.54,4.3194495342865105e-8,0.0
-17.53,4.385886748864003e-8,0.0
-17.52,4.4517191300437735e-8,0.0
-17.51,4.516935558657229e-8,0.0
-17.5,4.581525011172237e-8,0.0
-17.49,4.645476559863501e-8,0.0
-17.48,4.7087793729828675e-8,0.0
-17.47,4.7714227149295985e-8,0.0
-17.46,4.83339594641902e-8,0.0
-17.45,4.8946885246516976e-8,0.0
-17.44,4.955290003481401e-8,0.0
-17.43,5.0151900335826983e-8,0.0
-17.42,5.074378362618039e-8,0.0
-17.41,5.13284483540438e-8,0.0
-17.4,5.1905793940788243e-8,0.0
-17.39,5.247572078264155e-8,0.0
-17.38,5.303813025233579e-8,0.0
-17.37,5.359292470074608e-8,0.0
-17.36,5.414000745852982e-8,0.0
-17.35,5.467928283775188e-8,0.0
-17.34,5.521065613351173e-8,0.0
-17.33,5.573403362555801e-8,0.0
-17.32,5.624932257989815e-8,0.0
-17.31,5.6756431250405734e-8,0.0
-17.3,5.7255268880415626e-8,0.0
-17.29,5.7745745704316506e-8,0.0
-17.28,5.822777294913369e-8,0.0
-17.27,5.870126283611068e-8,0.0
-17.26,5.916612858227636e-8,0.0
-17.25,5.962228440201247e-8,0.0
-17.24,6.006964550860918e-8,0.0
-17.23,6.050812811581678e-8,0.0
-17.22,6.093764943938865e-8,0.0
-17.21,6.135812769861874e-8,0.0
-17.2,6.17694821178692e-8,0.0
-17.19,6.217163292809263e-8,0.0
-17.18,6.256450136834876e-8,0.0
-17.17,6.294800968730883e-8,0.0
-17.16,6.332208114475721e-8,0.0
-17.15,6.368664001308251e-8,0.0
-17.14,6.404161157876245e-8,0.0
-17.13,6.438692214384077e-8,0.0
-17.12,6.472249902739577e-8,0.0
-17.11,6.50482705670019e-8,0.0
-17.1,6.536416612018093e-8,0.0
-17.09,6.567011606584987e-8,0.0
-17.08,6.596605180575623e-8,0.0
-17.07,6.625190576590527e-8,0.0
-17.06,6.652761139798274e-8,0.0
-17.05,6.67931031807656e-8,0.0
-17.04,6.704831662152472e-8,0.0
-17.03,6.729318825742112e-8,0.0
-17.02,6.752765565689116e-8,0.0
-17.01,6.775165742102483e-8,0.0
-17.0,6.796513318493313e-8,0.0
-16.99,6.816802361910884e-8,0.0
-16.98,6.836027043077722e-8,0.0
-16.97,6.854181636523633e-8,0.0
-16.96,6.871260520719162e-8,0.0
-16.95,6.887258178207688e-8,0.0
-16.94,6.902169195737033e-8,0.0
-16.93,6.91598826438964e-8,0.0
-16.92,6.928710179712334e-8,0.0
-16.91,6.9403298418446e-8,0.0
-16.9,6.95084225564631e-8,0.0
-16.89,6.96024253082413e-8,0.0
-16.88,6.968525882057302e-8,0.0
-16.87,6.975687629121987e-8,0.0
-16.86,6.98172319701503e-8,0.0
-16.85,6.986628116076462e-8,0.0
-16.84,6.990398022110855e-8,0.0
-16.83,6.993028656508021e-8,0.0
-16.82,6.994515866362375e-8,0.0
-16.81,6.99485560459122e-8,0.0
-16.8,6.994043930052178e-8,0.0
-16.79,6.992077007659352e-8,0.0
-16.78,6.988951108498481e-8,0.0
-16.77,6.984662609941026e-8,0.0
-16.76,6.979207995757021e-8,0.0
-16.75,6.972583856226962e-8,0.0
-16.74,6.964786888252441e-8,0.0
-16.73,6.955813895465841e-8,0.0
-16.72,6.945661788338528e-8,0.0
-16.71,6.934327584288237e-8,0.0
-16.7,6.921808407785162e-8,0.0
-16.69,6.908101490456767e-8,0.0
-16.68,6.89320417119158e-8,0.0
-16.67,6.877113896241605e-8,0.0
-16.66,6.859828219323686e-8,0.0
-16.65,6.841344801719608e-8,0.0
-16.64,6.821661412374847e-8,0.0
-16.63,6.800775927996237e-8,0.0
-16.62,6.778686333148234e-8,0.0
-16.61,6.755390720348072e-8,0.0
-16.6,6.730887290159568e-8,0.0
-16.59,6.705174351285454e-8,0.0
-16.58,6.67825032065887e-8,0.0
-16.57,6.650113723533072e-8,0.0
-16.56,6.620763193569986e-8,0.0
-16.55,6.590197472927499e-8,0.0
-16.54,6.558415412345486e-8,0.0
-16.53,6.525415971230052e-8,0.0
-16.52,6.491198217737107e-8,0.0
-16.51,6.45576132885367e-8,0.0
-16.5,6.419104590478658e-8,0.0
-16.49,6.381227397501858e-8,0.0
-16.48,6.34212925388117e-8,0.0
-16.47,6.301809772719053e-8,0.0
-16.46,6.260268676337316e-8,0.0
-16.45,6.217505796350004e-8,0.0
-16.44,6.173521073735539e-8,0.0
-16.43,6.128314558906874e-8,0.0
-16.42,6.081886411780401e-8,0.0
-16.41,6.034236901843127e-8,0.0
-16.4,5.985366408218736e-8,0.0
-16.39,5.93527541973154e-8,0.0
-16.38,5.883964534969702e-8,0.0
-16.37,5.8314344623459334e-8,0.0
-16.36,5.777686020157249e-8,0.0
-16.35,5.722720136643419e-8,0.0
-16.34,5.666537850042826e-8,0.0
-16.33,5.609140308647742e-8,0.0
-16.32,5.550528770857469e-8,0.0
-16.31,5.490704605229757e-8,0.0
-16.3,5.4296692905311356e-8,0.0
-16.29,5.3674244157849625e-8,0.0
-16.28,5.303971680317967e-8,0.0
-16.27,5.2393128938054875e-8,0.0
-16.26,5.173449976314599e-8,0.0
-16.25,5.10638495834569e-8,0.0
-16.24,5.0381199808720006e-8,0.0
-16.23,4.968657295378365e-8,0.0
-16.22,4.897999263896669e-8,0.0
-16.21,4.826148359041296e-8,0.0
-16.2,4.753107164041108e-8,0.0
-16.19,4.678878372771085e-8,0.0
-16.18,4.6034647897809765e-8,0.0
-16.17,4.526869330323169e-8,0.0
-16.16,4.449095020377571e-8,0.0
-16.15,4.370144996675915e-8,0.0
-16.14,4.2900225067231496e-8,0.0
-16.13,4.20873090881753e-8,0.0
-16.12,4.1262736720684125e-8,0.0
-16.11,4.042654376412518e-8,0.0
-16.1,3.9578767126282675e-8,0.0
-16.09,3.871944482347599e-8,0.0
-16.08,3.7848615980666487e-8,0.0
-16.07,3.696632083153768e-8,0.0
-16.06,3.6072600718559264e-8,0.0
-16.05,3.516749809303309e-8,0.0
-16.04,3.4251056515108394e-8,0.0
-16.03,3.332332065379484e-8,0.0
-16.02,3.238433628693415e-8,0.0
-16.01,3.14341503011709e-8,0.0
-16.0,3.047281069188562e-8,0.0
-15.99,2.950036656311844e-8,0.0
-15.98,2.8516868127466277e-8,0.0
-15.97,2.7522366705960686e-8,0.0
-15.96,2.651691472792315e-8,0.0
-15.95,2.5500565730797843e-8,0.0
-15.94,2.4473374359967572e-8,0.0
-15.93,2.3435396368540553e-8,0.0
-15.92,2.2386688617118768e-8,0.0
-15.91,2.1327309073546242e-8,0.0
-15.9,2.0257316812631672e-8,0.0
-15.89,1.9176772015846362e-8,0.0
-15.88,1.8085735971006836e-8,0.0
-15.87,1.6984271071926834e-8,0.0
-15.86,1.5872440818049633e-8,0.0
-15.85,1.4750309814058208e-8,0.0
-15.84,1.3617943769458262e-8,0.0
-15.83,1.247540949814112e-8,0.0
-15.82,1.1322774917918013e-8,0.0
-15.81,1.016010905004105e-8,0.0
-15.8,8.987482018683492e-9,0.0
-15.79,7.804965050412582e-9,0.0
-15.78,6.612630473623314e-9,0.0
-15.77,5.410551717959742e-9,0.0
-15.76,4.198803313702078e-9,0.0
-15.75,2.977460891133438e-9,0.0
-15.74,1.7466011798813164e-9,0.0
-15.73,5.063020082282758e-10,0.0
